num, time, PAT, eSBP, eDBP, iSBP, iDBP
1,2430,165,0,0,119.594,45.8976
2,4886,-1,0,0,-1,-1
3,5576,192,0,0,121.827,47.6978
4,6261,194,0,0,119.389,47.0142
5,6945,194,0,0,119.275,47.4244
6,7631,195,0,0,121.508,50.797
7,8322,185,0,0,127.228,54.238
8,8849,194,0,0,117.293,43.7327
9,9612,186,0,0,123.628,46.7407
10,10311,190,0,0,119.047,52.2327
11,11007,195,0,0,121.44,46.5584
12,11704,184,0,0,127.547,50.1589
13,12397,191,0,0,122.853,48.3359
14,13089,194,0,0,118.614,47.3104
15,13779,190,0,0,123.4,49.8399
16,14477,191,0,0,124.995,48.222
17,15165,195,0,0,120.62,48.1992
18,15855,196,0,0,121.303,48.222
19,16546,189,0,0,127.16,49.9539
20,17237,200,0,0,122.147,48.3359
21,17925,195,0,0,119.184,47.1053
22,18610,194,0,0,121.964,48.0852
23,19302,185,0,0,129.53,49.9539
24,19989,192,0,0,122.033,48.5866
25,20672,187,0,0,126.408,50.9793
26,21358,191,0,0,122.579,48.5866
27,22035,194,0,0,121.258,50.797
28,22721,190,0,0,124.289,48.2447
29,23401,196,0,0,119.435,47.3104
30,24078,193,0,0,123.468,50.2045
31,24765,189,0,0,124.311,48.6321
32,25446,193,0,0,122.99,48.9284
33,26123,192,0,0,122.762,48.4043
34,26799,189,0,0,124.516,48.6777
35,27477,186,0,0,128.823,49.4297
36,28157,190,0,0,128.755,49.7488
37,28830,193,0,0,123.263,48.7917
38,29504,191,0,0,123.673,49.9083
39,30178,186,0,0,128.937,50.3868
40,30859,187,0,0,131.512,50.3868
41,31532,193,0,0,125.337,49.2474
42,32205,194,0,0,125.382,52.7568
43,32880,187,0,0,131.558,51.0021
44,33559,191,0,0,130.874,50.6147
45,34234,190,0,0,126.932,49.8627
46,34910,190,0,0,127.456,53.167
47,35586,185,0,0,133.632,50.5919
48,36268,186,0,0,133.495,51.0477
49,36944,189,0,0,128.641,55.7648
50,37625,190,0,0,128.687,49.4297
51,38309,181,0,0,136.23,53.9418
52,38994,186,0,0,132.378,51.1844
53,39685,189,0,0,129.142,50.3413
54,40378,187,0,0,130.943,50.8654
55,41081,183,136.026,52.2191,136.23,50.7742
56,41780,191,124.054,49.0792,129.553,49.9311
57,42477,189,127,49.8517,126.636,48.8372
58,43177,186,131.476,51.0258,133.427,52.4378
59,43886,190,125.523,49.4644,131.718,49.9083
60,44589,193,121.14,48.3148,127.16,49.3158
61,45297,193,121.14,48.3148,127.547,48.0169
62,46005,185,132.984,51.4214,134.338,52.5745
63,46711,188,128.484,50.2409,129.667,49.8627
64,47412,193,121.14,48.3148,126.294,49.0423
65,48116,190,125.523,49.4644,129.302,50.2957
66,48825,186,131.476,51.0258,133.381,49.8171
67,49529,191,124.054,49.0792,126.226,49.4981
68,50229,193,121.14,48.3148,124.813,48.108
69,50930,186,131.476,51.0258,132.264,50.1362
70,51631,189,127,49.8517,129.165,48.1764
71,52332,195,118.255,47.5582,125.36,48.7005
72,53034,188,128.484,50.2409,130.738,51.982
73,53533,190,125.523,49.4644,129.917,45.3734
74,54342,182,137.559,52.6212,132.356,48.0624
75,55069,192,122.593,48.696,125.679,51.2756
76,55789,184,134.501,51.8192,133.358,49.6576
77,56499,191,124.054,49.0792,126.75,47.7434
78,57208,195,118.255,47.5582,124.243,50.6375
79,57919,187,129.976,50.6323,131.718,49.7488
80,58630,191,124.054,49.0792,130.76,56.0155
81,59337,194,119.694,47.9355,126.362,49.0879
82,60042,193,121.14,48.3148,129.051,50.2501
83,60755,187,129.976,50.6323,133.837,50.5691
84,61464,190,125.523,49.4644,127.183,49.6804
85,62165,191,124.054,49.0792,125.314,48.3131
86,62868,183,136.026,52.2191,133.381,52.6884
87,63568,191,124.054,49.0792,130.51,50.6375
88,64267,192,122.593,48.696,127.433,49.0879
89,64970,186,131.476,51.0258,133.176,52.0959
90,65676,188,128.484,50.2409,132.583,50.1134
91,66383,190,125.523,49.4644,128.094,49.5209
92,67086,189,127,49.8517,130.874,51.2072
93,67800,188,128.484,50.2409,134.384,49.9539
94,68505,192,122.593,48.696,128.641,50.2729
95,69208,193,121.14,48.3148,129.006,49.8171
96,69920,188,128.484,50.2409,135.227,51.7085
97,70622,192,122.593,48.696,129.781,50.3185
98,71324,196,116.824,47.1828,126.294,48.86
99,72035,184,134.501,51.8192,134.224,52.5973
100,72735,193,121.14,48.3148,130.533,50.5236
101,73438,194,119.694,47.9355,126.727,48.6549
102,74143,186,131.476,51.0258,133.222,50.1589
103,74856,189,127,49.8517,133.267,49.4753
104,75568,194,119.694,47.9355,128.664,49.4297
105,76284,192,122.593,48.696,130.1,50.2273
