num, time, PAT, eSBP, eDBP, tSBP, tDBP
1,2302,162,0,0,0,0
2,3073,162,0,0,0,0
3,3851,162,0,0,0,0
4,4628,162,0,0,0,0
5,5373,163,0,0,0,0
6,6066,163,0,0,0,0
7,6759,163,0,0,0,0
8,7470,162,0,0,0,0
9,8209,161,0,0,0,0
10,8945,160,0,0,0,0
11,9767,159,0,0,0,0
12,10623,159,0,0,0,0
13,12074,160,0,0,0,0
14,12792,160,0,0,0,0
15,13505,162,0,0,0,0
16,14858,162,0,0,0,0
17,15570,163,0,0,0,0
18,16272,162,0,0,0,0
19,16957,163,0,0,0,0
20,17643,161,0,0,0,0
21,18322,163,0,0,0,0
22,19639,163,0,0,0,0
23,20314,162,0,0,0,0
24,21022,161,0,0,0,0
25,21718,160,0,0,0,0
26,22407,159,0,0,0,0
27,23090,158,0,0,0,0
28,24383,163,0,0,0,0
29,25016,149,0,0,0,0
30,25665,150,0,0,0,0
31,26310,151,0,0,0,0
32,26997,153,0,0,0,0
33,27734,140,0,0,0,0
34,28507,155,0,0,0,0
35,29209,161,0,0,0,0
36,31997,148,0,0,0,0
37,32643,160,0,0,0,0
38,33296,174,0,0,0,0
39,33962,174,0,0,0,0
40,34642,169,0,0,0,0
41,35332,169,0,0,0,0
42,36074,163,0,0,0,0
43,36847,167,0,0,0,0
44,37554,176,0,0,0,0
45,38285,169,0,0,0,0
46,39029,170,0,0,0,0
47,39714,175,0,0,0,0
48,40388,172,0,0,0,0
49,41065,164,0,0,0,0
50,41779,171,0,0,0,0
51,42506,171,0,0,0,0
52,43265,169,0,0,0,0
53,44063,168,0,0,0,0
54,44831,172,0,0,0,0
55,45127,173,0,0,0,0
56,45572,172,0,0,0,0
57,46308,156,0,0,0,0
58,47045,158,0,0,0,0
59,47751,151,0,0,0,0
60,48432,156,0,0,0,0
61,49105,159,0,0,0,0
62,51491,172,0,0,0,0
63,51994,172,0,0,0,0
64,52716,176,0,0,0,0
65,54113,162,0,0,0,0
66,54811,158,0,0,0,0
67,55128,203,0,0,0,0
68,57579,154,0,0,0,0
69,60271,223,0,0,0,0
70,61608,241,0,0,0,0
71,62313,242,0,0,0,0
72,63062,170,0,0,0,0
73,63748,173,0,0,0,0
74,64439,172,0,0,0,0
75,65147,172,0,0,0,0
76,65869,172,0,0,0,0
77,66565,172,0,0,0,0
78,67286,168,0,0,0,0
79,68043,168,0,0,0,0
80,68731,161,0,0,0,0
81,69422,162,0,0,0,0
82,70132,163,0,0,0,0
83,70859,156,0,0,0,0
84,71536,158,0,0,0,0
85,72214,164,0,0,0,0
86,72904,166,0,0,0,0
87,73615,168,0,0,0,0
88,74319,179,0,0,0,0
89,74979,180,0,0,0,0
90,75637,179,0,0,0,0
91,76303,177,0,0,0,0
92,76963,175,0,0,0,0
93,77668,172,0,0,0,0
94,78384,167,0,0,0,0
