num, time, PAT, eSBP, eDBP, tSBP, tDBP
1,2565,216,0,0,0,0
2,3376,227,0,0,0,0
3,4156,123,0,0,0,0
4,5027,212,0,0,0,0
5,5905,-1,0,0,0,0
6,6719,-1,0,0,0,0
7,7097,231,0,0,0,0
8,7540,228,0,0,0,0
9,8006,132,0,0,0,0
10,8366,216,0,0,0,0
11,9178,234,0,0,0,0
12,9978,227,0,0,0,0
13,10750,245,0,0,0,0
14,11480,239,0,0,0,0
15,12880,72,0,0,0,0
16,13634,219,0,0,0,0
17,14493,222,0,0,0,0
18,15431,215,0,0,0,0
19,15741,-1,0,0,0,0
20,16383,220,0,0,0,0
21,17253,223,0,0,0,0
22,18146,219,0,0,0,0
23,19016,219,0,0,0,0
24,19825,226,0,0,0,0
25,20661,211,0,0,0,0
26,21163,-1,0,0,0,0
27,21471,218,0,0,0,0
28,22300,209,0,0,0,0
29,23172,209,0,0,0,0
30,24019,207,0,0,0,0
31,24915,213,0,0,0,0
32,25843,211,0,0,0,0
33,26725,214,0,0,0,0
34,27569,217,0,0,0,0
35,28392,223,0,0,0,0
36,29206,203,0,0,0,0
37,30017,206,0,0,0,0
38,30816,214,0,0,0,0
39,31597,215,0,0,0,0
40,32344,215,0,0,0,0
41,33125,214,0,0,0,0
42,33918,130,0,0,0,0
43,34645,239,0,0,0,0
44,35397,221,0,0,0,0
45,36175,218,0,0,0,0
46,36955,224,0,0,0,0
47,37755,219,0,0,0,0
48,38544,184,0,0,0,0
49,39114,240,0,0,0,0
50,39429,128,0,0,0,0
51,39963,364,0,0,0,0
52,40454,383,0,0,0,0
53,40898,205,0,0,0,0
54,41754,78,0,0,0,0
55,42788,30,0,0,0,0
56,43856,211,0,0,0,0
57,44762,207,0,0,0,0
58,45664,208,0,0,0,0
59,46578,208,0,0,0,0
60,47430,225,0,0,0,0
61,48282,205,0,0,0,0
62,49110,211,0,0,0,0
63,49924,215,0,0,0,0
64,50705,215,0,0,0,0
65,51449,245,0,0,0,0
66,52181,227,0,0,0,0
67,52900,230,0,0,0,0
68,53649,183,0,0,0,0
69,54404,201,0,0,0,0
70,55126,219,0,0,0,0
71,55854,214,0,0,0,0
72,56580,229,0,0,0,0
73,57274,210,0,0,0,0
74,57956,210,0,0,0,0
75,58634,211,0,0,0,0
76,59305,227,0,0,0,0
77,59955,170,0,0,0,0
78,60607,171,0,0,0,0
79,61245,205,0,0,0,0
80,61863,193,0,0,0,0
81,62482,187,0,0,0,0
82,62859,410,0,0,0,0
83,63749,394,0,0,0,0
84,64416,30,0,0,0,0
85,65722,170,0,0,0,0
86,66382,145,0,0,0,0
87,67092,235,0,0,0,0
88,67819,-1,0,0,0,0
