time	PAT
2565	216
3376	227
4156	123
5027	212
5905	-1
6719	-1
7097	231
7540	228
8006	132
8366	216
9178	234
9978	227
10750	245
11480	239
12880	72
13634	219
14493	222
15431	215
15741	-1
16383	220
17253	223
18146	219
19016	219
19825	226
20661	211
21163	-1
21471	218
22300	209
23172	209
24019	207
24915	213
25843	211
26725	214
27569	217
28392	223
29206	203
30017	206
30816	214
31597	215
32344	215
33125	214
33918	130
34645	239
35397	221
36175	218
36955	224
37755	219
38544	184
39114	240
39429	128
39963	364
40454	383
40898	205
41754	78
42788	30
43856	211
44762	207
45664	208
46578	208
47430	225
48282	205
49110	211
49924	215
50705	215
51449	245
52181	227
52900	230
53649	183
54404	201
55126	219
55854	214
56580	229
57274	210
57956	210
58634	211
59305	227
59955	170
60607	171
61245	205
61863	193
62482	187
62859	410
63749	394
64416	30
65722	170
66382	145
67092	235
67819	-1
68318	182
68972	85
69617	319
70251	70
70899	175
71532	153
72158	198
72797	220
73438	217
74104	209
74643	334
75409	171
76081	224
77381	213
78032	207
78741	127
79976	-1
80666	177
81041	-1
81328	316
82169	165
82960	197
84176	-1
84564	117
85183	250
85502	506
85990	153
86720	202
87438	196
88159	195
88893	190
89636	210
90332	214
91126	143
91824	198
92581	209
93331	224
94032	203
94731	217
95423	76
96099	116
96460	31
96775	150
97468	207
98177	256
98879	109
99262	366
99601	135
100327	133
100728	459
101719	194
102415	49
103100	109
103767	179
104430	154
104920	374
105822	131
106412	200
107081	198
107786	199
108496	201
109189	205
109927	203
110702	194
111511	192
112319	198
113034	152
113493	455
114176	394
115059	515
115775	199
116338	389
117217	101
117932	-1
118231	420
118701	91
120137	-1
120828	150
121485	48
122138	219
122778	111
123400	214
124011	167
124624	192
125211	223
126388	210
126852	327
127203	-1
127629	125
128232	146
128577	392
129515	57
130185	135
130929	199
131620	121
131980	-1
132496	47
132907	402
133745	454
135108	459
135615	205
136446	-1
137125	200
137825	211
138275	-1
138567	196
139321	200
140119	195
140880	221
141677	197
142501	250
142879	329
143334	129
144114	329
144891	207
145664	144
146397	138
147138	189
147915	197
148740	194
149540	198
150142	421
152762	-1
153518	200
154307	193
155140	196
155949	194
156819	193
157663	191
158529	200
159427	201
160303	214
161072	200
161838	197
162607	210
163399	204
164184	141
164977	176
165644	173
166390	166
167121	139
167837	133
168535	165
168912	501
169949	151
170540	233
171190	223
171845	238
172514	229
173189	96
173883	269
174564	156
175240	45
175899	177
176557	208
177207	222
177849	209
178474	145
179105	206
179754	211
180473	202
181253	129
182031	196
182814	-1
183581	210
184310	210
185041	214
185798	211
186587	204
187392	212
188209	151
188926	200
189740	207
190570	220
191381	224
192153	209
192942	202
193711	208
194458	239
195163	155
195869	281
196599	216
197058	86
197403	204
198252	206
199126	205
200016	219
200798	225
201566	218
202333	263
203096	71
203871	166
204620	250
205393	181
206167	194
206905	181
207719	185
208554	-1
209352	160
210168	205
211003	225
211752	273
212502	283
213212	289
213895	188
214573	112
215232	416
215881	8
216518	228
217154	251
218417	259
219862	37
220697	241
221589	198
222405	214
223224	220
224056	208
224887	416
225671	179
226492	224
227282	220
228169	208
229138	209
230086	215
230973	216
231889	216
232792	215
233631	210
234507	208
235338	206
236252	205
237218	215
238073	216
238485	-1
238859	201
239620	232
240317	213
241593	275
242282	208
242912	193
243526	211
244143	195
244809	170
245365	215
245962	223
246569	206
247171	200
247774	213
248372	205
248975	194
249579	207
250189	183
250799	179
251419	195
252046	195
252698	187
253384	183
254098	187
254839	185
255559	165
256246	231
256913	194
257550	173
258186	197
258848	189
259578	195
260305	204
261055	179
261825	266
262590	15
263313	250
264040	-1
264819	94
265632	-1
266446	348
267202	297
267942	-1
268686	195
269455	200
270232	196
271048	192
271894	217
272663	182
273426	259
274200	24
274980	-1
275711	198
276440	210
277197	206
278008	186
278841	217
279595	214
280396	183
281219	274
281975	227
282762	213
283572	215
284330	-1
