num, time, PAT, eSBP, eDBP, tSBP, tDBP
1,2626,215,0,0,0,0
2,3438,220,0,0,0,0
3,4217,200,0,0,0,0
4,5089,220,0,0,0,0
5,5968,232,0,0,0,0
6,6781,224,0,0,0,0
7,7214,371,0,0,0,0
8,7602,187,0,0,0,0
9,8005,142,0,0,0,0
10,8431,213,0,0,0,0
11,9241,217,0,0,0,0
12,10042,216,0,0,0,0
13,10814,239,0,0,0,0
14,11544,235,0,0,0,0
15,12243,263,0,0,0,0
16,12945,-1,0,0,0,0
17,13703,263,0,0,0,0
18,14243,353,0,0,0,0
19,14555,237,0,0,0,0
20,15586,97,0,0,0,0
21,16448,113,0,0,0,0
22,17521,-1,0,0,0,0
23,20260,-1,0,0,0,0
24,20730,506,0,0,0,0
25,21539,528,0,0,0,0
26,22056,43,0,0,0,0
27,22369,238,0,0,0,0
28,22732,-1,0,0,0,0
29,25039,-1,0,0,0,0
30,27643,-1,0,0,0,0
31,28377,294,0,0,0,0
32,29107,380,0,0,0,0
33,31666,-1,0,0,0,0
34,32184,324,0,0,0,0
35,32704,-1,0,0,0,0
36,35448,-1,0,0,0,0
37,36332,152,0,0,0,0
38,37027,241,0,0,0,0
39,37824,132,0,0,0,0
40,38615,172,0,0,0,0
41,39405,216,0,0,0,0
42,40191,242,0,0,0,0
43,41031,160,0,0,0,0
44,41730,236,0,0,0,0
45,42443,240,0,0,0,0
46,43167,216,0,0,0,0
47,43929,216,0,0,0,0
48,44837,217,0,0,0,0
49,45738,227,0,0,0,0
50,46653,220,0,0,0,0
51,47506,226,0,0,0,0
52,48357,221,0,0,0,0
53,49185,222,0,0,0,0
54,50000,225,0,0,0,0
55,50782,228,0,0,0,0
56,51526,96,0,0,0,0
57,52259,217,0,0,0,0
58,52979,205,0,0,0,0
59,53727,196,0,0,0,0
60,54483,202,0,0,0,0
61,55206,211,0,0,0,0
62,55935,208,0,0,0,0
63,56662,217,0,0,0,0
64,57352,204,0,0,0,0
65,58035,212,0,0,0,0
66,58711,204,0,0,0,0
67,59385,211,0,0,0,0
68,60039,202,0,0,0,0
69,60689,194,0,0,0,0
70,61325,203,0,0,0,0
71,61945,198,0,0,0,0
72,62564,198,0,0,0,0
73,63187,203,0,0,0,0
74,63830,201,0,0,0,0
75,64503,198,0,0,0,0
76,65154,206,0,0,0,0
77,65806,195,0,0,0,0
78,66466,200,0,0,0,0
79,67116,206,0,0,0,0
80,67757,207,0,0,0,0
81,68464,140,0,0,0,0
82,69057,196,0,0,0,0
83,69700,207,0,0,0,0
84,70338,190,0,0,0,0
85,70985,202,0,0,0,0
86,71619,199,0,0,0,0
87,72247,200,0,0,0,0
88,72882,202,0,0,0,0
89,73581,88,0,0,0,0
90,74191,215,0,0,0,0
91,74732,326,0,0,0,0
92,75558,125,0,0,0,0
93,76235,154,0,0,0,0
94,76834,201,0,0,0,0
95,77468,216,0,0,0,0
96,78120,196,0,0,0,0
97,78774,201,0,0,0,0
98,79420,198,0,0,0,0
99,80063,191,0,0,0,0
100,80754,188,0,0,0,0
101,81512,193,0,0,0,0
102,82260,192,0,0,0,0
103,83053,188,0,0,0,0
104,83833,202,0,0,0,0
105,84568,198,0,0,0,0
106,85322,183,0,0,0,0
107,86083,59,0,0,0,0
108,86607,415,0,0,0,0
109,87038,-1,0,0,0,0
110,87591,131,0,0,0,0
111,88255,196,0,0,0,0
112,88988,190,0,0,0,0
113,89278,-1,0,0,0,0
114,89732,199,0,0,0,0
115,90429,194,0,0,0,0
116,91162,188,0,0,0,0
117,91918,197,0,0,0,0
118,92678,186,0,0,0,0
119,93430,197,0,0,0,0
120,94130,198,0,0,0,0
121,94826,200,0,0,0,0
122,95520,189,0,0,0,0
123,96196,199,0,0,0,0
124,96875,193,0,0,0,0
125,97567,190,0,0,0,0
126,98276,196,0,0,0,0
127,98978,196,0,0,0,0
128,99700,201,0,0,0,0
129,100427,199,0,0,0,0
130,101119,200,0,0,0,0
131,101816,204,0,0,0,0
132,102515,194,0,0,0,0
133,103200,204,0,0,0,0
134,103868,199,0,0,0,0
135,104529,200,0,0,0,0
136,104880,-1,0,0,0,0
137,105194,197,0,0,0,0
138,105855,202,0,0,0,0
139,106514,194,0,0,0,0
140,107182,192,0,0,0,0
141,107887,196,0,0,0,0
142,108597,199,0,0,0,0
143,109290,198,0,0,0,0
144,110028,197,0,0,0,0
145,110804,197,0,0,0,0
146,111614,194,0,0,0,0
147,112421,207,0,0,0,0
148,113134,212,0,0,0,0
149,113821,212,0,0,0,0
150,114491,198,0,0,0,0
151,115227,49,0,0,0,0
152,115877,203,0,0,0,0
153,116609,122,0,0,0,0
154,117319,193,0,0,0,0
155,118034,192,0,0,0,0
156,118805,203,0,0,0,0
157,119524,225,0,0,0,0
158,120241,229,0,0,0,0
159,120932,165,0,0,0,0
160,121589,208,0,0,0,0
161,122245,154,0,0,0,0
162,122886,206,0,0,0,0
163,123508,212,0,0,0,0
164,124118,196,0,0,0,0
165,124498,421,0,0,0,0
166,125328,215,0,0,0,0
167,126498,209,0,0,0,0
168,127075,205,0,0,0,0
169,127654,199,0,0,0,0
170,128236,198,0,0,0,0
171,128854,195,0,0,0,0
172,129560,184,0,0,0,0
173,130295,201,0,0,0,0
174,131041,195,0,0,0,0
175,131730,190,0,0,0,0
176,132428,201,0,0,0,0
177,133139,197,0,0,0,0
178,133855,211,0,0,0,0
179,134547,197,0,0,0,0
180,135220,206,0,0,0,0
181,135884,186,0,0,0,0
182,136557,204,0,0,0,0
183,136981,342,0,0,0,0
184,137414,148,0,0,0,0
185,140232,-1,0,0,0,0
186,140992,195,0,0,0,0
187,141789,199,0,0,0,0
188,142614,209,0,0,0,0
189,143448,212,0,0,0,0
190,144230,179,0,0,0,0
191,145005,216,0,0,0,0
192,145780,475,0,0,0,0
193,146430,573,0,0,0,0
194,147090,221,0,0,0,0
195,147534,349,0,0,0,0
196,147974,261,0,0,0,0
197,148414,393,0,0,0,0
198,148806,177,0,0,0,0
199,149290,221,0,0,0,0
200,149598,177,0,0,0,0
201,150086,173,0,0,0,0
202,150434,309,0,0,0,0
203,150830,155,0,0,0,0
204,153636,-1,0,0,0,0
205,154425,196,0,0,0,0
206,155259,199,0,0,0,0
207,156068,198,0,0,0,0
208,156937,200,0,0,0,0
209,157782,201,0,0,0,0
210,158648,199,0,0,0,0
211,159545,206,0,0,0,0
212,160425,210,0,0,0,0
213,161192,212,0,0,0,0
214,161958,193,0,0,0,0
215,162729,205,0,0,0,0
216,163521,211,0,0,0,0
217,164304,199,0,0,0,0
218,165024,208,0,0,0,0
219,165764,191,0,0,0,0
220,166512,174,0,0,0,0
221,167244,182,0,0,0,0
222,167961,182,0,0,0,0
223,168664,200,0,0,0,0
224,169347,197,0,0,0,0
225,170011,210,0,0,0,0
226,170662,139,0,0,0,0
227,171315,201,0,0,0,0
228,171969,195,0,0,0,0
229,172638,198,0,0,0,0
230,173314,197,0,0,0,0
231,174009,191,0,0,0,0
232,174689,191,0,0,0,0
233,175365,234,0,0,0,0
234,176025,196,0,0,0,0
235,176683,221,0,0,0,0
236,177334,156,0,0,0,0
237,177975,206,0,0,0,0
238,178603,210,0,0,0,0
239,179233,196,0,0,0,0
240,179881,191,0,0,0,0
241,180601,192,0,0,0,0
242,181381,195,0,0,0,0
243,182222,142,0,0,0,0
244,182943,248,0,0,0,0
245,183710,201,0,0,0,0
246,184440,197,0,0,0,0
247,185171,207,0,0,0,0
248,185928,218,0,0,0,0
249,186717,207,0,0,0,0
250,187523,215,0,0,0,0
251,188282,186,0,0,0,0
252,189059,197,0,0,0,0
253,189873,208,0,0,0,0
254,190703,201,0,0,0,0
255,191515,205,0,0,0,0
256,192286,211,0,0,0,0
257,193076,205,0,0,0,0
258,193845,205,0,0,0,0
259,194593,216,0,0,0,0
260,195297,205,0,0,0,0
261,196004,200,0,0,0,0
262,196735,187,0,0,0,0
263,197538,198,0,0,0,0
264,198385,93,0,0,0,0
265,199263,245,0,0,0,0
266,200153,80,0,0,0,0
267,200936,219,0,0,0,0
268,201703,216,0,0,0,0
269,202471,217,0,0,0,0
