time	PAT
2626	215
3438	220
4217	200
5089	220
5968	232
6781	224
7214	371
7602	187
8005	142
8431	213
9241	217
10042	216
10814	239
11544	235
12243	263
12945	-1
13703	263
14243	353
14555	237
15586	97
16448	113
17521	-1
20260	-1
20730	506
21539	528
22056	43
22369	238
22732	-1
25039	-1
27643	-1
28377	294
29107	380
31666	-1
32184	324
32704	-1
35448	-1
36332	152
37027	241
37824	132
38615	172
39405	216
40191	242
41031	160
41730	236
42443	240
43167	216
43929	216
44837	217
45738	227
46653	220
47506	226
48357	221
49185	222
50000	225
50782	228
51526	96
52259	217
52979	205
53727	196
54483	202
55206	211
55935	208
56662	217
57352	204
58035	212
58711	204
59385	211
60039	202
60689	194
61325	203
61945	198
62564	198
63187	203
63830	201
64503	198
65154	206
65806	195
66466	200
67116	206
67757	207
68464	140
69057	196
69700	207
70338	190
70985	202
71619	199
72247	200
72882	202
73581	88
74191	215
74732	326
75558	125
76235	154
76834	201
77468	216
78120	196
78774	201
79420	198
80063	191
80754	188
81512	193
82260	192
83053	188
83833	202
84568	198
85322	183
86083	59
86607	415
87038	-1
87591	131
88255	196
88988	190
89278	-1
89732	199
90429	194
91162	188
91918	197
92678	186
93430	197
94130	198
94826	200
95520	189
96196	199
96875	193
97567	190
98276	196
98978	196
99700	201
100427	199
101119	200
101816	204
102515	194
103200	204
103868	199
104529	200
104880	-1
105194	197
105855	202
106514	194
107182	192
107887	196
108597	199
109290	198
110028	197
110804	197
111614	194
112421	207
113134	212
113821	212
114491	198
115227	49
115877	203
116609	122
117319	193
118034	192
118805	203
119524	225
120241	229
120932	165
121589	208
122245	154
122886	206
123508	212
124118	196
124498	421
125328	215
126498	209
127075	205
127654	199
128236	198
128854	195
129560	184
130295	201
131041	195
131730	190
132428	201
133139	197
133855	211
134547	197
135220	206
135884	186
136557	204
136981	342
137414	148
140232	-1
140992	195
141789	199
142614	209
143448	212
144230	179
145005	216
145780	475
146430	573
147090	221
147534	349
147974	261
148414	393
148806	177
149290	221
149598	177
150086	173
150434	309
150830	155
153636	-1
154425	196
155259	199
156068	198
156937	200
157782	201
158648	199
159545	206
160425	210
161192	212
161958	193
162729	205
163521	211
164304	199
165024	208
165764	191
166512	174
167244	182
167961	182
168664	200
169347	197
170011	210
170662	139
171315	201
171969	195
172638	198
173314	197
174009	191
174689	191
175365	234
176025	196
176683	221
177334	156
177975	206
178603	210
179233	196
179881	191
180601	192
181381	195
182222	142
182943	248
183710	201
184440	197
185171	207
185928	218
186717	207
187523	215
188282	186
189059	197
189873	208
190703	201
191515	205
192286	211
193076	205
193845	205
194593	216
195297	205
196004	200
196735	187
197538	198
198385	93
199263	245
200153	80
200936	219
201703	216
202471	217
203234	212
204011	203
204760	202
205532	204
206308	208
207044	202
207859	195
208696	207
209494	205
210308	204
211146	199
211894	204
212644	212
213354	218
214038	202
214717	200
215376	203
216025	188
216662	-1
217298	240
219248	208
219809	386
220349	-1
220846	237
221880	58
222549	231
223370	295
224204	42
225036	540
225819	-1
226640	258
227432	130
228378	175
229286	-1
229573	330
230234	107
230671	-1
231125	227
231806	462
232946	278
233782	160
234662	249
235488	224
236405	217
237078	-1
237371	223
239013	217
239775	248
240472	233
241813	220
242440	232
243066	223
243681	226
244300	185
244913	230
245519	227
246122	219
246725	215
247328	210
247932	217
248530	212
249133	205
249797	144
250347	207
250958	210
251576	204
252206	195
252858	191
253544	191
254258	189
254999	148
255720	210
256408	200
257075	205
257712	204
258348	201
259010	196
259741	200
260467	203
261218	198
261988	194
262754	201
263477	199
264205	195
264984	194
265797	201
266611	207
267368	210
268108	205
268852	199
269621	199
270399	198
271215	196
272062	206
272831	208
273594	206
274368	201
275148	215
275880	212
276608	203
277366	200
278175	203
279012	214
279764	209
280565	205
281388	202
282144	206
282931	202
283742	205
284500	-1
