num, time, PAT, eSBP, eDBP, tSBP, tDBP
1,2852,169,0,0,0,0
2,3624,170,0,0,0,0
3,4402,170,0,0,0,0
4,5178,170,0,0,0,0
5,5923,171,0,0,0,0
6,6616,172,0,0,0,0
7,7308,171,0,0,0,0
8,8019,170,0,0,0,0
9,8758,169,0,0,0,0
10,9495,167,0,0,0,0
11,10315,165,0,0,0,0
12,11168,168,0,0,0,0
13,12620,170,0,0,0,0
14,13340,170,0,0,0,0
15,14054,174,0,0,0,0
16,15404,179,0,0,0,0
17,16116,167,0,0,0,0
18,16818,168,0,0,0,0
19,17504,169,0,0,0,0
20,18189,165,0,0,0,0
21,18869,167,0,0,0,0
22,20183,160,0,0,0,0
23,20858,159,0,0,0,0
24,21568,157,0,0,0,0
25,22263,157,0,0,0,0
26,22951,152,0,0,0,0
27,23635,168,0,0,0,0
28,24928,168,0,0,0,0
29,25561,169,0,0,0,0
30,26208,169,0,0,0,0
31,26853,169,0,0,0,0
32,27541,170,0,0,0,0
33,28278,169,0,0,0,0
34,29050,169,0,0,0,0
35,29755,169,0,0,0,0
36,32539,169,0,0,0,0
37,33186,170,0,0,0,0
38,33839,170,0,0,0,0
39,34505,169,0,0,0,0
40,35184,169,0,0,0,0
41,35875,168,0,0,0,0
42,36615,167,0,0,0,0
43,37389,167,0,0,0,0
44,38096,168,0,0,0,0
45,38826,168,0,0,0,0
46,39571,169,0,0,0,0
47,40255,172,0,0,0,0
48,40930,172,0,0,0,0
49,41607,171,0,0,0,0
50,42320,171,0,0,0,0
51,43046,170,0,0,0,0
52,43803,169,0,0,0,0
53,44604,168,0,0,0,0
54,45372,169,0,0,0,0
55,45672,168,0,0,0,0
56,46112,170,0,0,0,0
57,46848,169,0,0,0,0
58,47585,170,0,0,0,0
59,48290,171,0,0,0,0
60,48971,170,0,0,0,0
61,49646,171,0,0,0,0
62,52533,170,0,0,0,0
63,53256,172,0,0,0,0
64,54651,172,0,0,0,0
65,55348,173,0,0,0,0
66,56044,169,0,0,0,0
67,58788,172,0,0,0,0
68,60140,166,0,0,0,0
69,60807,165,0,0,0,0
