num, time, PAT, eSBP, eDBP, tSBP, tDBP
1,2732,208,0,0,0,0
2,3588,205,0,0,0,0
3,4483,204,0,0,0,0
4,5378,194,0,0,0,0
5,6281,162,0,0,0,0
6,7163,158,0,0,0,0
7,7976,160,0,0,0,0
8,8781,162,0,0,0,0
9,9605,170,0,0,0,0
10,10482,206,0,0,0,0
11,11392,210,0,0,0,0
12,12287,209,0,0,0,0
13,13147,208,0,0,0,0
14,14014,209,0,0,0,0
15,14930,206,0,0,0,0
16,15884,205,0,0,0,0
17,16899,204,0,0,0,0
18,17892,205,0,0,0,0
19,18796,207,0,0,0,0
20,19702,213,0,0,0,0
21,20597,213,0,0,0,0
22,21470,222,0,0,0,0
23,22315,225,0,0,0,0
24,23139,235,0,0,0,0
25,23929,208,0,0,0,0
26,24687,209,0,0,0,0
27,25437,208,0,0,0,0
28,26180,201,0,0,0,0
29,26957,177,0,0,0,0
30,27797,205,0,0,0,0
31,28736,204,0,0,0,0
32,29678,196,0,0,0,0
33,30601,198,0,0,0,0
34,31459,192,0,0,0,0
35,32313,185,0,0,0,0
36,33164,186,0,0,0,0
37,34041,185,0,0,0,0
38,34945,182,0,0,0,0
39,35856,193,0,0,0,0
40,36772,201,0,0,0,0
41,37661,201,0,0,0,0
42,38537,203,0,0,0,0
43,39434,250,0,0,0,0
44,40352,253,0,0,0,0
45,41302,317,0,0,0,0
46,42243,313,0,0,0,0
47,43108,311,0,0,0,0
48,43966,267,0,0,0,0
49,44843,265,0,0,0,0
50,45739,203,0,0,0,0
51,46654,207,0,0,0,0
52,47509,209,0,0,0,0
53,48324,209,0,0,0,0
54,49152,210,0,0,0,0
55,50002,208,0,0,0,0
56,50902,207,0,0,0,0
57,51841,206,0,0,0,0
58,52791,206,0,0,0,0
59,53747,208,0,0,0,0
60,54668,210,0,0,0,0
61,55623,213,0,0,0,0
62,56571,214,0,0,0,0
63,57530,213,0,0,0,0
64,58483,214,0,0,0,0
65,59378,213,0,0,0,0
66,60264,212,0,0,0,0
67,61158,212,0,0,0,0
68,62071,244,0,0,0,0
69,62970,251,0,0,0,0
70,63810,253,0,0,0,0
71,64323,259,0,0,0,0
72,64644,268,0,0,0,0
73,65410,235,0,0,0,0
74,66236,199,0,0,0,0
75,66898,205,0,0,0,0
76,67660,228,0,0,0,0
77,68424,217,0,0,0,0
78,68949,183,0,0,0,0
79,69270,188,0,0,0,0
80,69941,179,0,0,0,0
81,70682,155,0,0,0,0
82,71434,154,0,0,0,0
83,72192,184,0,0,0,0
84,72960,201,0,0,0,0
85,73557,229,0,0,0,0
86,74242,265,0,0,0,0
87,75169,263,0,0,0,0
88,75918,262,0,0,0,0
89,76670,261,0,0,0,0
90,77469,233,0,0,0,0
91,78346,195,0,0,0,0
92,79320,194,0,0,0,0
93,80312,194,0,0,0,0
94,81297,154,0,0,0,0
95,82239,105,0,0,0,0
96,83174,74,0,0,0,0
97,84076,79,0,0,0,0
98,84933,96,0,0,0,0
99,85758,132,0,0,0,0
100,86598,182,0,0,0,0
101,87446,186,0,0,0,0
102,88315,187,0,0,0,0
103,89242,197,0,0,0,0
104,90230,202,0,0,0,0
105,91223,201,0,0,0,0
106,92172,201,0,0,0,0
107,93149,201,0,0,0,0
108,94148,202,0,0,0,0
109,95122,214,0,0,0,0
110,95634,251,0,0,0,0
111,96122,283,0,0,0,0
112,96982,286,0,0,0,0
113,97579,296,0,0,0,0
114,97953,264,0,0,0,0
115,98747,204,0,0,0,0
116,99603,173,0,0,0,0
117,100416,170,0,0,0,0
118,101267,160,0,0,0,0
119,102171,180,0,0,0,0
120,103112,205,0,0,0,0
121,104017,204,0,0,0,0
122,104914,204,0,0,0,0
123,105845,204,0,0,0,0
